school,zip code,Prestige,Satisfaction,Resources & Facilities,Safety,Teacher Support,School Administration,Campus Setting,Average Score
eastern illinois university,61920,50,76.7,71.1,84.4,80,58.9,63.3,69.2
indiana university   purdue university indianapolis,46202,50,60.5,74.1,69.3,61.4,41.2,54.4,58.7
monmouth university,07764,50,72.2,46.3,59.3,63,59.3,72.2,60.33
new mexico institute of mining and technology,87801,50,72.2,64.8,79.6,74.1,61.1,63,66.4
guilford college,27410,50,71.4,54.8,47.6,69,42.9,64.3,57.14
franciscan university of steubenville,43952,50,75,57.1,85.7,76.2,64.3,69,68.19
pacific university,97123,50,68.8,58.3,81.3,59.5,50,75,63.27
south dakota state university,57007,50,59.4,62.5,75,43.8,52.1,60.4,57.6
christian brors university,38104,50,75,35.7,69,73.8,76.2,54.8,62.07
george mason university,22030,50,60.7,72.2,66.7,57.9,46.8,58.7,59
randolph macon college,23192,50,77.8,53.7,66.7,75.9,46.3,68.5,62.7
evergreen state college,98505,50,70.5,56.1,75.8,81.8,47,72.7,64.84
gonzaga university,99258,50,75,50,75,77.1,50,66.7,63.4
university of wisconsin la crosse,54601,50,71.9,60.4,70.8,62.5,60.4,60.4,62.34
university of wyoming,82071,50,75,64.6,81.3,85.4,75,66.7,71.14
bowling green state university main campus,43403,49.1,65.8,69.3,75.4,69.3,59.6,55.3,63.4
university of maryland baltimore county,21250,49.1,51.4,65.7,64.8,61.1,41.7,51.9,55.1
florida a&m university,32307,48.8,64.3,40.5,50,51.3,27.4,50,47.47
cuny queens college,11367,48.6,58.3,55.6,69.4,65.3,56.9,56.9,58.71
university of texas arlington,76019,48.5,65.4,74,69.6,70.1,55.4,64.7,63.96
alabama a&m university,35762,48.5,70.5,60.6,62.1,63.6,50,50,57.9
oakland university,48309,48.5,50,56.7,71.2,66.7,51.5,51.5,56.59
susquehanna university,17870,48.5,75,54.5,69.7,71.2,48.5,74.2,63.09
san francisco state university,94132,48.4,65.5,62.7,65.1,64.3,34.1,63.5,57.66
devry university arizona,85281,48.3,47.5,53.3,57.4,55,58.3,46.7,52.36
humboldt state university,95521,48.2,84.2,66.7,78.9,81.6,53.5,90.4,71.93
grand valley state university,49401,48.1,61.1,69.1,80.9,70.4,58.6,75.3,66.21
university of montana missoula,59812,48.1,75,53.7,72.2,61.1,48.1,74.1,61.76
university of toledo,43606,48.1,73.6,69.4,62,62,46.3,76.9,62.61
southwestern university,78626,48.1,61.1,68.5,74.1,85.2,63,70.4,67.2
florida gulf coast university,33965,48.1,64.8,67.3,77.8,70,64.8,71.6,66.34
virginia commonwealth university,23284,48,60,64,42,58,46,50.7,52.67
university of michigan flint,48502,47.9,46.9,37.5,20.8,52.1,29.2,29.2,37.66
roberts wesleyan college,14624,47.9,68.8,56.3,75,77.1,62.5,62.5,64.3
kenyon college,43022,47.9,62.5,52.1,83.3,79.2,60.4,83.3,66.96
keiser college,33401,47.6,71.4,47.6,78.6,73.8,59.5,38.1,59.51
point park university,15222,47.6,57.1,35.7,54.8,64.3,54.8,45.2,51.36
norrn state university,57401,47.6,64.3,38.1,52.4,59.5,54.8,59.5,53.74
saint michaels college,05439,47.6,82.1,59.5,88.1,83.3,69,61.9,70.21
university of nevada las vegas,89154,47.4,65.4,70.5,55.1,67.9,50,53.8,58.59
university of maine,04469,47.2,63.9,66.7,76.9,64.8,48.1,63,61.51
university of california santa cruz,95064,47.1,72.8,69.6,67.4,69.6,44.2,90.6,65.9
flagler college,32043,47,54.5,54.5,69.7,69.7,60.6,93.1,64.16
university of nevada reno,89557,47,56.8,51.5,69.7,51.5,42.4,57.6,53.79
college of charleston,29424,47,68.2,61.7,58.3,73.3,61.7,83.3,64.79
california state university sacramento,95819,46.7,56.7,61.1,61.1,63.3,52.2,53.3,56.34
drake university,50311,46.7,55,48.3,45,56.7,41.7,43.3,48.1
western michigan university,49008,46.7,63.3,66.7,64.4,66.7,48.9,56.7,59.06
university of missouri st louis,63121,46.7,55,68.3,65,63.3,56.7,50,57.86
bloomsburg university of pennsylvania,17815,46.7,60,58.9,66.7,65.6,60,56.7,59.23
weber state university,84405,46.7,65,70,73.3,63.3,55,58.3,61.66
university of puget sound,98416,46.7,65,55,58.3,81.7,60,75,63.1
university of wisconsin oshkosh,54901,46.7,65,60,75,58.3,48.3,50,57.61
university of texas san antonio,78249,46.5,48.7,56.1,68.4,63.2,54.4,61.4,56.96
bowdoin college,04011,46.4,66.1,79.8,85.7,78.6,81,79.8,73.91
montana state university bozeman,59717,46.2,67.9,67.9,86.9,79.5,70.2,61.9,68.64
valdosta state university,31698,45.8,53.1,54.2,45.8,47.9,29.2,62.5,48.36
indiana university   purdue university fort wayne,46805,45.8,53.1,47.9,56.3,33.3,22.9,56.3,45.09
suny college oswego,13126,45.8,58.3,62.5,70.8,72.2,45.8,58.3,59.1
devry university ohio,44120,45.8,46.9,52.1,50,56.3,54.2,37.5,48.97
clarion university of pennsylvania,16214,45.8,75,59.7,76.4,70.8,58.3,65.3,64.47
philadelphia university,19144,45.8,59.4,64.6,75,75,60.4,58.3,62.64
university of south dakota,57069,45.8,65.6,68.8,87.5,68.8,70.8,64.6,67.41
texas a&m university corpus christi,78412,45.8,65.6,52.1,77.1,75,56.3,75,63.84
university of wisconsin stevens point,54481,45.8,68.8,64.6,81.3,75,62.5,62.5,65.79
baker college of auburn hills,48326,45.8,59.4,50,62.5,43.8,45.2,37.5,49.17
central michigan university,48859,45.7,73.9,76.8,73.2,67.4,60.1,69.6,66.67
sourn illinois university edwardsville,62026,45.5,59.1,63.3,75.8,69.7,56.1,66.7,62.31
ferris state university,49307,45.5,59.1,62.1,62.1,66.7,47,54.5,56.71
university of wisconsin whitewater,53190,45.5,61.4,63.6,62.1,65.2,48.5,68.2,59.21
marshall university,25755,45.4,66.7,68.5,75,65.7,55.6,69.4,63.76
john brown university,72704,45.2,60.7,69,83.3,76.2,59.5,73.8,66.81
lake forest college,60045,45.2,60.7,50,71.4,69,61.9,78.6,62.4
emerson college,02116,45.2,75,50,47.6,59.5,19,47.6,49.13
iona college,10598,45.2,64.3,52.4,47.6,64.3,47.6,59.5,54.41
long island university c w post campus,11548,45.2,71.4,,78.6,64.3,42.9,71.4,62.3
beloit college,53511,45.2,75,54.8,78.6,83.3,50,66.7,64.8
washington state university vancouver,98686,45.2,50,54.8,81,,45.2,69,57.53
california state university chico,95929,45.1,80.9,71.6,74.5,75.5,60.8,75.5,69.13
sourn connecticut state university,06515,44.9,42.3,52.6,52.6,39.7,39.7,44.4,45.17
louisiana tech university,71272,44.9,67.3,64.1,71.8,75.6,65.4,60.3,64.2
central washington university,98926,44.9,63.5,74.4,70.5,67.9,55.1,67.9,63.46
university of north florida,32224,44.8,75,62.5,66.7,64.6,49,66.7,61.33
murray state university,42071,44.4,70.8,54.2,83.3,69.4,52.8,70.8,63.67
university of scranton,18510,44.4,75,55.6,74.1,79.6,53.7,53.7,62.3
minnesota state unversity mankato,56001,44,64.3,75,66.7,59.5,47.6,63.1,60.03
university of north carolina wilmington,28403,44,69.6,58.3,60.7,75,54.8,64.3,60.96
barry university,33146,43.8,71.9,54.2,52.1,64.6,68.8,72.9,61.19
hampshire college,01002,43.8,68.8,56.3,79.2,77.1,45.8,56.3,61.04
delaware valley college,18901,43.8,65.6,70.8,83.3,66.7,62.5,77.1,67.11
david lipscomb university,37204,43.8,56.3,45.8,59.4,55.2,44.8,51,50.9
carthage college,53140,43.8,40.6,37.5,79.2,64.6,50,58.3,53.43
university of new mexico main campus,87131,43.6,46.2,60.3,53.8,55.1,44.9,61.5,52.2
wayne state university,48202,43.5,59.7,65.7,48.1,60.2,48.1,59.3,54.94
southwest missouri state university,65897,43.5,73.6,68.5,70.4,69.4,53.7,58.3,62.49
saint cloud state university,56301,43.3,62.5,71.7,65,75,61.7,53.3,61.79
millersville university of pennsylvania,17551,43.1,58.8,59.8,79.4,65.7,57.8,72.5,62.44
west chester university of pennsylvania,19383,43.1,58.3,51.4,58.3,61.1,40.3,61.1,53.37
connecticut college,06320,42.9,39.3,57.1,66.7,52.4,59.5,61.9,54.26
university of evansville,47722,42.9,50,54.8,83.3,59.5,45.2,64.3,57.14
suny college oneonta,13820,42.9,46.4,61.9,59.5,54.8,33.3,59.5,51.19
xavier university,45207,42.9,78.6,45.2,64.3,64.3,59.5,50,57.83
york college pennsylvania,17403,42.9,67.9,57.1,69,61.9,59.5,66.7,60.71
capella university,55402,42.9,53.6,61.9,61.9,52.4,64.3,45.2,54.6
biola university,90639,42.6,63.9,59.3,74.1,77.8,61.1,59.3,62.59
eastern kentucky university,40391,42.6,75,57.4,66.7,48.1,51.9,75.9,59.66
middle tennessee state university,40475,42.5,63.8,66.7,70.1,74.1,50.6,56.3,60.59
indiana state university,47809,42.4,64.8,60.6,69.7,62.9,54.5,58.3,59.03
albany state university,31705,42.3,51.9,62.8,55.1,39.7,42.3,47.4,48.79
new jersey institute of technology,07102,42.3,40.4,44.9,25.6,47.4,28.2,23.1,35.99
suny college new paltz,12561,42.3,65.4,65.4,70.5,62.8,41,64.1,58.79
baldwin wallace college,44101,42.3,53.6,43.6,79.5,66.7,55.1,62.8,57.66
university of memphis,38152,42.2,54.4,64.7,50,55.9,50,54.9,53.16
california state university san bernardino,92407,41.7,57.8,60.4,64.6,61.5,53.1,56.3,56.49
central connecticut state university,06010,41.7,52.5,53.3,63.3,60,41.7,43.3,50.83
columbia college chicago,60605,41.7,57.5,55,43.3,76.7,46.7,43.3,52.03
bridgewater state college,02325,41.7,55,61.7,71.7,58.3,45,58.3,55.96
linfield college,97128,41.7,56.3,35.4,72.9,75,56.3,70.8,58.34
utah valley state college,84043,41.7,60.4,54.2,86.1,72.2,62.5,62.5,62.8
christopher newport university,23606,41.7,60,56.7,73.3,70,46.7,68.3,59.53
norrn arizona university,86011,41.1,65.6,69.8,81.3,80.2,50,79.2,66.74
rhode island college,02908,40.9,61.4,45.5,63.6,57.6,53,43.9,52.27
austin peay state university,37130,40.9,63.6,56.1,66.7,66.7,60.6,66.7,60.19
shenandoah university,22601,40.9,75,60.6,65.2,69.7,65.2,75.8,64.63
palm beach atlantic university west palm beach,33401,40.7,66.7,51.9,66.7,68.5,42.6,57.4,56.36
rutgers university newark,07102,40.7,50,50,35.2,53.7,24.1,35.2,41.27
indiana university of pennsylvania main campus,15705,40.6,69.1,67.6,68.6,70.6,54.9,71.6,63.29
eastern michigan university,48197,40.6,56.5,61.6,32.6,65.9,41.3,50,49.79
florida institute of technology melbourne,32901,40.5,67.9,57.1,54.8,69,45.2,59.5,56.29
clayton college and state university,30260,40.5,53.6,69,76.2,35.7,35.7,73.8,54.93
kennesaw state university,30144,40.5,44.6,54.8,65.5,67.9,39.3,57.1,52.81
texas womans university,76204,40.5,67.9,54.8,73.8,61.9,35.7,69,57.66
goddard college,05673,40.5,82.1,42.9,88.1,78.6,73.8,85.7,70.24
georgia state university,30303,40.3,62.5,65.3,44.4,54.2,51.4,49.3,52.49
western kentucky university,42101,40,75,68.9,67.8,64.4,61.1,73.3,64.36
university of akron main campus,44325,40,60,65,54.2,60,50.8,54.2,54.89
wright state university main campus,45435,39.7,59.6,64.1,60.3,51.3,44.9,50,52.84
university of north carolina charlotte,28223,39.6,43.8,52.1,49,53.1,33.3,47.9,45.54
university of washington tacoma campus,98402,39.6,59.4,43.8,43.8,64.6,54.2,43.8,49.89
saginaw valley state university,48710,39.4,68.2,53,77.3,78.8,50,63.6,61.47
university of minnesota duluth,55812,39.4,59.1,71.2,74.2,59.1,33.3,63.6,57.13
suny albany,12222,39.4,58,61.4,59.8,46.2,40.9,36.4,48.87
wichita state university,67260,39.3,51.8,61.9,54.8,53.6,50,54.8,52.31
university of idaho,83844,38.9,71.7,74.4,73.3,57.1,53.3,67.8,62.36
portland state university,97201,38.5,62.5,55.2,56.3,59.4,53.1,56.3,54.47
johnson&wales university,02903,38.3,60,58.3,50,55,55,40,50.94
kaplan college,60661,38.3,67.5,55,70,68.3,56.7,43.3,57.01
university of montevallo,35115,38.1,71.4,42.9,64.3,61.9,57.1,64.3,57.14
american intercontinental university,30004,38.1,60.7,59.5,50,66.7,69,54.8,56.97
pacific union college,94515,38.1,67.9,59.5,71.4,64.3,31,61.9,56.3
jacksonville university,32211,38.1,57.1,40.5,52.4,76.2,38.1,61.9,52.04
nebraska wesleyan university,68504,38.1,57.1,50,76.2,73.8,42.9,64.3,57.49
sourn new hampshire university,03106,38.1,67.9,61.9,78.6,69,59.5,54.8,61.4
suny college cortland,13045,38.1,75,54.8,61.9,54.8,40.5,57.1,54.6
suny empire state college,11729,38.1,75,52.4,57.1,52.4,50,54.8,54.26
marietta college,45750,38.1,78.6,61.9,71.4,66.7,57.1,66.7,62.93
sourn oregon university,97520,38.1,78.6,66.7,76.2,85.7,57.1,71.4,67.69
sourn utah university,84720,38.1,57.1,59.5,71.4,73.8,52.4,59.5,58.83
western illinois university,61455,37.5,54.2,65.3,75,55.6,51.4,54.2,56.17
stonehill college,02357,37.5,68.8,56.3,77.1,64.6,56.3,60.4,60.14
montclair state university,07043,37.5,68.8,50,60.4,47.9,25,43.8,47.63
cuny hunter college,10065,37.5,34.4,43.8,37.5,39.6,12.5,25,32.9
union college,12180,37.5,53.1,62.5,68.8,56.3,58.3,62.5,57
university of houston downtown,77002,37.5,53.1,43.8,45.8,45.8,20.8,29.2,39.43
university of wisconsin green bay,54302,37.5,68.8,52.1,70.8,62.5,52.1,54.2,56.86
idaho state university,83725,37,63.9,61.1,64.8,59.3,55.6,50,55.96
rowan university,08028,36.7,50,56.7,58.3,58.3,50,51.7,51.67
radford university,24142,36.7,68.3,62.2,72.2,64.4,62.2,65.6,61.66
metropolitan state college of denver,80204,36.4,65.9,69.7,50,74.2,66.7,63.6,60.93
university of arkansas little rock,72204,35.7,67.9,40.5,45.2,50,47.6,52.4,48.47
azusa pacific university,91702,35.7,60.7,42.9,66.7,50,31,47.6,47.8
california state university fresno,93740,35.7,35.7,59.5,38.1,66.7,42.9,54.8,47.63
chicago state university,60628,35.7,42.9,45.2,69,64.3,57.1,47.6,51.69
delta state university,38701,35.7,64.3,59.5,61.9,69,38.1,61.9,55.77
william woods university,65251,35.7,64.3,45.2,73.8,76.2,59.5,69,60.53
methodist college,61614,35.7,67.9,50,71.4,69,47.6,61.9,57.64
hiram college,44234,35.7,75,50,85.7,71.4,47.6,66.7,61.73
norfolk state university,23504,35.7,75,35.7,61.9,57.1,57.1,54.8,53.9
walla walla college,99362,35.7,32.1,52.4,64.3,57.1,50,61.9,50.5
indiana institute of technology,46805,35.4,65.6,52.1,56.3,70.8,64.6,58.3,57.59
westfield state college,01086,35.4,65.6,58.3,58.3,75,50,58.3,57.27
winthrop university,29733,35.4,65.6,52.1,64.6,45.8,22.9,72.9,51.33
norrn kentucky university,41099,34.7,75,52.8,70.8,75,54.2,45.8,58.33
youngstown state university,44555,34.7,56.3,58.3,45.8,54.2,36.1,48.6,47.71
lamar university,77710,34.3,55.6,59.3,50.9,64.8,57.4,56.5,54.11
university of north alabama,35632,33.3,67.9,47.6,81,81,57.1,69,62.41
california state university bakersfield,93311,33.3,56.3,45.8,75,50,43.8,37.5,48.81
art institute of california san diego,92123,33.3,39.3,40.5,40.5,45.2,38.1,38.1,39.29
armstrong atlantic state university,31419,33.3,39.3,42.9,71.4,54.8,57.1,50,49.83
columbus state university,31907,33.3,53.6,61.9,83.3,83.3,47.6,52.4,59.34
university of massachusetts dartmouth,02747,33.3,35,46.7,45,58.3,43.3,20,40.23
missouri sourn state university,64801,33.3,62.5,54.2,64.6,68.8,54.2,58.3,56.56
souast missouri state university,63701,33.3,56.3,54.2,54.2,60.4,52.1,54.2,52.1
niagara university,14109,33.3,50,45.8,70.8,68.8,47.9,58.3,53.56
suny college plattsburgh,12901,33.3,70,55,66.7,55,33.3,58.3,53.09
dallas baptist university,75211,33.3,69.4,55.6,81.5,68.5,42.6,63,59.13
university of houston clear lake,77058,33.3,68.8,50,75,72.9,50,68.8,59.83
northland college,54880,33.3,71.4,35.7,73.8,61.9,40.5,66.7,54.76
eastern washington university,99003,32.5,60.5,66.7,70.2,62.3,45.6,58.8,56.66
university of louisiana lafayette,70504,31.8,54.5,59.1,65.2,56.1,48.5,54.5,52.81
university of south alabama,36688,31.7,57.5,48.3,66.7,61.7,55,45,52.27
mcdaniel college,21132,31.7,67.5,50,71.7,72.2,56.7,66.7,59.5
university of wisconsin parkside,53141,31.7,60,55,61.7,61.7,51.7,66.7,55.5
monmouth college,61462,31.5,69.4,51.9,77.8,64.8,27.8,68.5,55.96
norrn michigan university,49855,31.5,75,66.7,83.3,68.5,61.1,63,64.16
university of texas el paso,79968,31.5,55.6,55.6,75.9,57.4,38.9,59.3,53.46
new college of california,94110,31.3,50,37.5,60.4,50,56.3,47.9,47.63
spring arbor university,49283,31.3,43.8,39.6,85.4,75,58.3,54.2,55.37
norastern state university,74464,31.3,65.6,62.5,75,58.3,47.9,75,59.37
lebanon valley college,17042,31.3,50,54.2,75,77.1,58.3,72.9,59.83
grove city college,16127,31.1,61.7,46.7,84.4,63.3,47.8,74.4,58.49
emporia state university,66801,31,57.1,47.6,78.6,57.1,59.5,47.6,54.07
william paterson university of new jersey,07470,31,67.9,47.6,66.7,69,59.5,57.1,56.97
new mexico state university main campus,88003,31,66.1,54.8,54.8,57.1,42.9,64.3,53
ashland university,44805,31,67.9,61.9,83.3,76.2,57.1,66.7,63.44
lander university,29649,31,67.9,61.9,83.3,71.4,54.8,45.2,59.36
east tennessee state university,37614,31,35.7,54.8,61.9,50,35.7,61.9,47.29
tarleton state university,76401,30.8,73.8,63.3,78.3,78.3,60,55.8,62.9
central missouri state university,65301,30.6,79.2,72.2,70.8,58.3,51.4,69.4,61.7
university of sourn maine,04104,30,55,45,60,56.7,33.3,48.3,46.9
university of central arkansas,72034,29.6,55.6,68.5,79.6,66.7,51.9,70.4,60.33
university of colorado denver,80204,29.6,61.1,53.7,50,66.7,46.3,31.5,48.41
university of pittsburgh johnstown,15904,29.6,61.1,44.4,85.2,53.7,40.7,66.7,54.49
university of missouri kansas city,64110,29.5,46.2,50,38.5,51.3,29.5,42.3,41.04
minnesota state university moorhead,56563,29.2,71.9,45.8,79.2,62.5,54.2,52.1,56.41
lindenwood university,63301,29.2,43.8,37.5,60.4,60.4,41.7,62.5,47.93
suny college of technology canton,13617,29.2,71.9,60.4,70.8,75,56.3,66.7,61.47
la sierra university,92505,28.6,50,47.6,69,73.8,61.9,61.9,56.11
tennessee wesleyan college,37303,28.6,42.9,31,59.5,47.6,33.3,35.7,39.8
cleveland state university,44115,28.3,55,56.7,45,61.7,43.3,28.3,45.47
miami dade college,33132,27.8,50,46.3,40.7,51.9,48.1,55.6,45.77
morehead state university,40351,27.8,61.1,57.4,70.4,68.5,57.4,53.7,56.61
university of central oklahoma,73034,27.8,61.1,57.4,70.4,74.1,55.6,46.3,56.1
california state university san marcos,92096,27.8,69.4,66.7,85.4,75.9,70.4,61.1,65.24
california state university monterey bay,93955,27.8,66.7,46.3,55.6,75.9,40.7,48.1,51.59
university of hawaii hilo,96720,26.2,78.6,52.4,73.8,73.8,59.5,64.3,61.23
mcneese state university,70609,26.2,71.4,47.6,69,71.4,35.7,31,50.33
edinboro university of pennsylvania,16444,26.2,35.7,52.4,66.7,52.4,45.2,38.1,45.24
shepherd college,25401,26.2,46.4,42.9,54.8,47.6,35.7,45.2,42.69
california state university hayward,94542,25.8,45.5,47,57.6,56.1,33.3,45.5,44.4
norastern illinois university,60706,25.8,59.1,53,56.1,56.1,51.5,43.9,49.36
university of alaska anchorage,99508,25,58.3,56.9,59.7,69.4,37.5,56.9,51.96
university of baltimore,21201,25,31.3,41.7,33.3,39.6,37.5,27.1,33.64
north dakota state university main campus,58102,25,40.6,68.8,77.1,52.1,39.6,62.5,52.24
missouri western state college,64507,23.8,67.9,42.9,73.8,78.6,59.5,45.2,55.96
lake superior state university,49701,23.3,37.5,30,73.3,75,41.7,50,47.26
augusta state university,30904,22.9,50,58.3,66.7,54.2,56.3,62.5,52.99
university of sourn indiana,47712,22.9,56.3,58.3,58.3,77.1,47.9,54.2,53.57
kutztown university of pennsylvania,19530,21.4,75,66.7,76.2,64.3,61.9,61.9,61.06
liberty university,24515,21,40,36,82.5,54.2,28.3,37.5,42.79
western oregon university,97361,20.8,46.9,38.1,68.8,60.4,54.2,58.3,49.64
cuny college of staten island,10314,19.4,39.6,43.1,63.9,55.6,36.1,51.4,44.16
mansfield university of pennsylvania,16933,19,67.9,54.8,88.1,61.9,47.6,54.8,56.3
university of wisconsin platteville,53818,19,46.4,54.8,76.2,64.3,59.5,54.8,53.57
dean college,02067,18.9,35,35.6,56.7,68.9,43.3,37.8,42.31
eckerd college,33711,16.7,75,66.7,71.4,76.2,42.9,73.8,60.39
fort hays state university,67601,16.7,53.1,52.1,77.1,64.6,50,50,51.94
wilkes university,18766,16.7,42.9,33.3,54.8,50,38.1,40.5,39.47
longwood university,23901,16.7,68.8,58.3,64.6,52.1,41.7,60.4,51.8
city university,98105,16.7,68.8,41.7,56.3,58.3,35.4,47.9,46.44
bob jones university,29614,15,38.9,,,,,,26.95
vanguard university of sourn california,92683,14.3,57.1,52.4,64.3,64.3,50,61.9,52.04
ohio university zanesville branch,43701,11.9,53.6,28.6,76.2,71.4,52.4,45.2,48.47
trevecca nazarene university,37210,11.9,53.6,40.5,64.3,69,54.8,59.5,50.51
fitchburg state college,01420,11.1,19.4,24.1,25.9,31.5,24.1,35.2,24.47
oral roberts university,74171,11.1,29.5,42.4,70.8,56.9,30.6,45.5,40.97
westminster college,84105,,82.1,54.8,83.3,73.8,59.5,73.8,71.22
loyola university new orleans,70118,,75,45.2,57.1,64.3,,73.8,63.08
hamilton college,13323,,,,,,,83.3,83.3
