school,zip code,Prestige,Satisfaction,Resources & Facilities,Safety,Teacher Support,School Administration,Campus Setting,Average Score
university of washington seattle,98195,74.6,78.2,81,69.9,61.8,53.9,82.1,71.64
drexel university,19104,74.6,61.8,71.9,35.1,42.1,39.5,41.2,52.31
indiana university bloomington,47405,74.5,75.4,85,76.9,59.8,53.8,91,73.77
worcester polytechnic institute,01609,74.4,78.8,80.8,71.8,79.5,57.7,74.4,73.91
saint louis university main campus,63103,74.4,78.8,75.6,60.3,71.8,66.7,84.6,73.17
university of california davis,95616,74.2,80.1,78.8,82.2,59.5,51.9,71.2,71.13
college of  holy cross,01610,74.2,81.8,77.3,78.8,84.8,69.7,87.9,79.21
mount holyoke college,01075,74.2,59.1,69.7,87.9,83.3,63.6,93.6,75.91
rochester institute of technology,14623,74.1,74.1,78.3,77,68.8,50.6,49.1,67.43
university of san diego,92110,73.8,71.4,69,71.4,66.7,64.3,81,71.09
colorado school of mines,80401,73.8,60.7,50,78.6,52.4,50,52.4,59.7
valparaiso university,46383,73.8,76.8,73.8,85.7,86.9,73.8,72.6,77.63
pratt institute main,11205,73.8,50,42.9,31,47.6,35.7,59.5,48.64
university of california santa barbara,93106,73.6,81.9,74.1,64.8,59.7,54.2,87.5,70.83
missouri university of science and technology,65409,73.5,73.5,66.7,75.5,73.5,60.8,48,67.36
ohio state university,43210,73.5,75,80.1,62,59.6,59.3,71.9,68.77
north carolina a&t state university,27411,73.3,75,76.7,61.7,73.3,73.3,75,72.61
boston university,02215,73.3,67,77.8,68.5,61.5,52.2,58.9,65.6
university of kansas,66045,73,78.6,79.8,76.6,63.9,50,86.1,72.57
virginia military institute,24450,72.9,75,47.9,85.4,66.7,43.8,52.1,63.4
washington and lee university,24450,72.9,59.4,58.3,85.4,75,60.4,89.6,71.57
clemson university,29634,72.7,72.7,74.2,78.8,71.2,58.3,79.5,72.49
auburn university,36849,72.4,79.8,74.7,76.3,64.1,59,85.3,73.09
michigan technological university,49931,72.4,71.8,72.4,92.2,64.1,55.7,78.6,72.46
michigan state university,48824,72.4,79.5,80.1,71.2,63.9,54.6,82.6,72.04
suny college geneseo,14454,72.2,78.3,66.7,80,74.4,58.9,75.6,72.3
rutgers university,08901,72,70.3,77.3,53.4,54,45.1,60.5,61.8
case western reserve university,44106,71.7,67.4,75.4,45.7,75.4,42.8,54.3,61.81
bellarmine university,40205,71.7,62.5,65,78.3,73.3,71.7,71.7,70.6
california baptist university,92504,71.4,82.1,61.9,85.7,73.8,66.7,90.5,76.01
bentley university,02452,71.4,67.9,61.9,69,73.8,61.9,78.6,69.21
sarah lawrence college,10573,71.4,64.3,50,76.2,83.3,71.4,76.2,70.4
malone college,44306,71.4,75,66.7,90.5,88.1,52.4,76.2,74.33
south dakota school of mines and technology,57701,71.4,71.4,52.4,78.6,69,50,59.5,64.61
depaul university,60604,71.3,68.1,71.3,61.1,70.4,55.6,64.8,66.09
baylor university,76706,71.3,70.8,71.3,71.3,73.1,56.5,80.6,70.7
university of maryland college park,20742,71,68.5,79.7,46,60.9,48.2,77.5,64.54
syracuse university,13244,70.8,67.9,69.5,58.9,64.3,50,67.2,64.09
north carolina state university raleigh,27695,70.8,68.1,77.3,68.5,66.7,60.6,57.9,67.13
university of minnesota twin cities,55455,70.7,69.6,84.8,64.5,52.2,47.5,73.6,66.13
louisiana state university,70803,70.6,78.3,72.2,67.2,62.8,51.1,79.4,68.8
bryn mawr college,19010,70.5,84.6,64.1,85.9,80.8,62.8,93.8,77.5
texas christian university,76109,70.5,75,62.8,70.5,71.8,66.7,79.5,70.97
rutgers university camden,08102,70,60,53.3,31.7,58.3,55,36.7,52.14
george washington university,20052,69.8,61.7,71.9,72.9,57.3,39.6,57.3,61.5
abilene christian university,79699,69.2,82.7,65.4,70.5,71.8,56.4,64.1,68.59
florida state university,32306,69,75.9,74.1,73.3,64.5,58.3,73.8,69.84
university of georgia,30602,69,76.4,82.8,61.9,60,51.9,80,68.86
wheaton college,60187,64.6,56.3,41.7,77.1,70.8,50,54.2,59.24
loyola college in maryland,21210,69,75,59.5,69,76.2,59.5,78.6,69.54
university of iowa,52242,68.9,76.7,74.4,73.3,62.2,55,72.8,69.04
university of miami,33146,68.8,68.8,65.6,60.4,62.5,56.3,80.2,66.09
seattle university,98122,68.8,71.9,60.4,60.4,64.6,58.3,58.3,63.24
quinnipiac university,06513,68.5,80.6,77.8,67.5,74.1,54.6,84.2,72.47
rollins college,32789,68.5,66.7,61.1,81.5,74.1,64.8,81.5,71.17
university of alabama,35487,68.4,73.7,78.1,65.8,58.8,44.7,78.9,66.91
university of connecticut,06269,68.3,66.7,73.3,61.7,53.9,43.9,69.4,62.46
mary baldwin college,22903,68.3,67.5,51.7,75,61.7,55,70,64.17
whitman college,99362,67.9,76.9,71.8,80.8,82.1,56.4,76.9,73.26
university of rochester,14627,67.7,65.6,69.8,52.1,63.5,43.8,67.7,61.46
american university,20016,67.5,68.8,60.8,77.5,65,50.8,64.2,64.94
dickinson college,17013,67.3,81,80.7,75.3,84,66.7,85.3,77.19
university of pittsburgh,15260,67.3,72.7,79.9,57.1,61,52.2,61.1,64.47
alaska pacific university,99508,66.7,57.1,59.5,57.1,52.4,59.5,54.8,58.16
colorado state university fort collins,80523,66.7,76.5,72.5,75.5,62.7,57.8,66.7,68.34
butler university,46208,66.7,64.3,45.2,76.2,73.8,71.4,81,68.37
babson college,02457,66.7,75,66.7,81.9,72.2,62.5,76.4,71.63
stevens institute of technology,07030,66.7,52.3,47,74.2,56.1,28.8,66.7,55.97
gannon university,16541,66.7,52.8,63,66.7,64.8,61.1,46.3,60.2
norastern university,02115,66.1,75,78.1,60.9,60.9,56.8,68.2,66.57
ohio university main campus,45701,65.9,87.5,72.6,77,70.2,59.5,86.5,74.17
franklin and marshall college,17603,65.5,69.6,69,73.8,82.1,70.2,70.2,71.49
lawrence university,54911,65.5,67.9,69,92.9,90.5,64.3,73.8,74.84
florida international university,33199,65.3,69,77.3,69.3,68.7,58,74,68.8
juniata college,16652,65.3,85.4,68.1,88.9,83.3,69.4,84.7,77.87
marquette university,53233,65.2,70.5,65.2,62.1,62.1,56.1,57.6,62.69
iowa state university,50011,65,72.6,72.1,80.9,56.1,52.4,76.8,67.99
university of california irvine,92697,65,70,73.3,80.6,62.8,51.7,73.3,68.1
trinity university,78212,65,75,73.3,71.7,76.7,56.7,75,70.49
hampton university,23668,64.8,75,59.3,70.4,64.8,42.6,66.7,63.37
cuny the city college of new york,10031,64.8,72.2,61.1,57.4,66.7,44.4,57.4,60.57
suny stony brook,11794,64.7,63.5,67.3,64.7,50,44.7,48.7,57.66
national university,92123,64.6,65.6,72.9,79.2,70.8,68.8,70.8,70.39
suffolk university,02108,64.6,59.4,56.3,72.9,70.8,64.6,39.6,61.17
john carroll university,44118,64.6,75,60.4,81.3,72.9,56.3,77.1,69.66
university of alabama birmingham,35294,64.3,65.5,77.8,55.6,55.6,51.6,50.8,60.17
saint bonaventure university,14260,64.3,62.5,62.5,72.9,62.5,43.8,68.8,62.47
loyola marymount university,90045,64.1,61.5,57.7,73.1,78.2,44.9,84.6,66.3
university of colorado boulder,80309,64.1,73.1,79.5,67.1,58.5,52.1,90.6,69.29
james madison university,22807,63.7,69.1,70.6,73.5,68.6,58.8,78.4,68.96
furman university,29613,63.6,77.5,56.1,83.3,80.3,53,80.3,70.59
university of tennessee knoxville,37996,63.6,68.9,74.7,61.6,55.1,41.4,62.1,61.06
appalachian state university,28608,63.5,86.9,73,76.2,76.2,67.5,84.9,75.46
university of utah,84112,63.5,71.2,79.5,73.7,65.4,57.1,73.7,69.16
embry riddle aeronautical university daytona beach,32114,63.3,33.3,50,71.7,63.3,31.7,50,51.9
kansas state university,66506,63.2,73.7,71.9,71.1,73.7,65.8,74.6,70.57
stetson university,32723,63,58.3,51.9,74.1,88.9,53.7,74.1,66.29
macalester college,55105,63,77.8,74.1,64.8,88.9,70.4,81.5,74.36
lafayette college,18042,63,69.4,75.9,70.4,87,70.4,81.5,73.94
california state university long beach,90840,62.8,74,68.6,61.5,66.7,57.1,72.4,66.16
university of missouri columbia,65211,62.7,69.9,72.5,70.6,57.4,40.7,73,63.83
university of oklahoma norman,73019,62.7,77.2,79.9,77.3,67.6,57.8,78.4,71.56
harding university,72149,62.5,71.9,68.8,81.3,91.7,75,77.1,75.47
university of denver,80208,62.5,46.9,50,64.6,58.3,58.3,60.4,57.29
rider university,08648,62.5,71.9,68.8,72.9,62.5,60.4,60.4,65.63
cuny brooklyn college,11210,62.5,46.9,64.6,58.3,47.9,37.5,79.2,56.7
clark university,01610,62.1,61.4,63.6,45.5,74.2,54.5,56.1,59.63
university of delaware,19716,62.1,75,76.4,70.1,66.7,56.9,82.2,69.91
university of massachusetts amherst,01003,62,68.5,67.8,59.3,50.8,38.5,60.1,58.14
university of puerto rico rio piedras,00931,61.9,46.4,45.2,45.2,38.1,42.9,47.6,46.76
university of arizona,85721,61.8,71.7,82,68.9,64,49.1,71.5,67
washington state university,99164,61.7,72.3,79.8,76.2,69.6,59.5,72,70.16
polytechnic university,11201,61.7,60,56.7,63.3,63.3,53.3,51.7,58.57
boise state university,83725,61.1,66.7,64.8,75.9,69.4,50.9,64.8,64.8
bradley university,61625,61.1,64.6,54.2,50,75,45.8,68.1,59.83
saint johns university,55105,61.1,77.1,68.1,68.1,63.9,44.4,70.8,64.79
east carolina university,27858,61.1,81.9,76.9,69.4,71.3,62,72.2,70.69
west virginia university,26506,60.9,80.2,74.7,71.3,64.9,54,67.8,67.69
truman state university,63501,60.8,76.5,61.8,77.5,74.5,57.8,67.6,68.07
oklahoma state university,74078,60.7,84.3,76.8,84.5,68.5,62.5,82.7,74.29
california luran university,91360,60.6,78.4,63.6,87.9,90.2,75,69.7,75.06
taylor university upland,46989,60.4,68.8,54.2,81.3,66.7,58.3,62.5,64.6
st johns college,87505,45.2,71.4,45.2,68.8,70.8,42.9,61.9,58.03
university of mary washington,22401,60.3,80.8,67.9,88.5,82.1,59,91,75.66
university of oregon,97403,60.1,73.9,78.3,73.9,71.7,58,81.2,71.01
suny binghamton,13902,60,63.3,55.6,67.8,52.2,41.1,41.1,54.44
saint marys college of california,94575,59.5,75,50,57.1,52.4,61.9,76.2,61.73
agnes scott college,30030,59.5,75,54.8,88.1,76.2,52.4,90.5,70.93
berkeley college,07030,50,50,52.4,47.6,45.2,33.3,50,46.93
suny college purchase,10577,59.5,78.6,57.1,85.7,88.1,40.5,38.1,63.94
temple university,19122,59.5,50.9,65.5,40.5,56,37.5,48.2,51.16
earlham college,47374,59.3,66.7,55.6,81.5,87,51.9,66.7,66.96
calvin college,49305,59.3,75,68.5,77.8,77.8,61.1,63,68.93
mississippi college,39120,59.3,52.8,46.3,70.4,74.1,57.4,64.8,60.73
wittenberg university,45501,59.3,82.5,70.4,79.6,85,66.7,75.9,74.2
university of alaska fairbanks,99775,59.1,75,71.2,87.9,71.2,54.5,59.1,68.29
duquesne university,15282,59.1,70.5,50,54.5,60.6,45.5,63.6,57.69
university of south carolina,29208,59.1,79.5,77.3,65.2,69.7,60.1,68.2,68.44
university of kentucky,40506,59,67.3,69.9,61.5,55.8,48.1,71.2,61.83
mississippi state university,39762,59,67.3,67.9,71.8,66.7,60.3,70.5,66.21
santa clara university,95053,58.9,60,67.8,71.1,73.3,61.1,84.4,68.09
university of new hampshire,03824,58.9,70,68.9,81.1,74.4,67.8,81.1,71.74
illinois institute of technology,60616,58.3,60.9,60.4,49,67.7,52.1,51,57.06
university of new orleans,70148,58.3,60,68.3,56.7,51.7,46.7,65,58.1
elon university,27244,58.3,87.5,67.9,83.3,85.7,66.7,89.3,76.96
university of cincinnati,45221,58.3,55.7,65.9,43.2,53.8,44.7,59.8,54.49
ohio norrn university,45872,58.3,55,56.7,77.8,57.4,51.7,66.7,60.51
university of  arts,19102,58.3,50,45.8,52.1,62.5,60.4,27.1,50.89
university of south carolina aiken,29801,58.3,71.9,56.3,83.3,79.2,77.1,62.5,69.8
san jose state university,95192,57.9,66.7,81,68.3,73,41.3,65.1,64.76
arizona state university tempe,85281,57.9,69.8,74.5,64.2,59.7,49.1,68.6,63.4
university of north dakota,58202,57.8,68.3,74.4,76.7,62.2,47.8,63.3,64.36
western washington university,98225,57.7,75.9,73.2,71.4,69.6,51.2,84.5,69.07
university of louisville,40292,57.5,65,61.7,46.7,56.7,48.3,55,55.84
university of arkansas,72701,57.4,62.5,76.9,68.5,57.4,50,75.9,64.09
florida sourn college,33801,57.4,69.4,75.9,72.2,81.5,58.3,79.6,70.61
lawrence technological university,48075,57.4,50,57.4,68.5,72.2,55.6,48.1,58.46
brigham young university idaho,83460,57.3,81.3,77.1,93.8,87.5,83.3,75,79.33
mercer university,31207,57.1,42.9,52.4,71.4,61.9,42.9,59.5,55.44
