Zip Code,school,Type,City,State,State FIPS,Locale,Average Faculty Salary,Average SAT Score,Admission Rate,4-Year Completion Rate,Average Net Price (Public),Average Net Price (Private),Cost of Attendance (Academic Year),Median Debt of Completers,Median Earnings (8 Years After Entry),Mean Earnings (8 Years After Entry),Retention Rate,Student Faculty Ratio
30083,united education institute stone mountain,12,stone mountain,GA,13,21.0,,,,0.643691588785,,33189.0,,9500.0,26110.0,25100.0,,18.0
98404,uei college tacoma,12,tacoma,WA,53,12.0,,,,0.638049450549,,34928.0,,9500.0,28411.0,33000.0,,16.0
21237,montgomery beauty school baltimore beauty&barber school,12,baltimore,MD,24,21.0,,,,0.6,,18970.0,,11845.0,22667.0,25200.0,,25.0
33027,universal technical institute south florida miramar,12,miramar,FL,12,21.0,6203.0,,,0.664917069074,,25637.0,,13124.0,52777.0,43000.0,,31.0
48033,arizona college of nursing southfield,6,southfield,MI,26,13.0,7612.0,,1.0,0.586859688196,,33553.0,38951.0,9500.0,33491.0,24500.0,0.6957,20.0
34232,galen health institutes sarasota,9,sarasota,FL,12,21.0,6409.0,,,0.583057264553,,49673.0,54064.0,24166.0,60671.0,45000.0,0.0,12.0
32607,galen health institutes gainesville,12,gainesville,FL,12,22.0,6327.0,,,0.583057264553,,48507.0,54524.0,24166.0,60671.0,45000.0,0.6667,12.0
23225,galen health institutes richmond,9,richmond,VA,51,21.0,6820.0,,,0.583057264553,,40766.0,47865.0,24166.0,60671.0,45000.0,,12.0
29572,galen health institutes myrtle beach,9,myrtle beach,SC,45,13.0,6537.0,,,0.583057264553,,41961.0,49542.0,24166.0,60671.0,45000.0,,12.0
28803,galen health institutes asheville,9,asheville,NC,37,13.0,6837.0,,,0.583057264553,,77180.0,79782.0,24166.0,60671.0,45000.0,0.0,12.0
55109,salon professional academy maplewood,12,maplewood,MN,27,21.0,,,,,,12523.0,,,,,,14.0
85353,xtylo beauty college,12,tolleson,AZ,4,21.0,,,,,,28054.0,,,,,,8.0
94103,san francisco school of massage&bodywork,12,san francisco,CA,6,11.0,,,,,,22464.0,,,,,,20.0
