State,school,Student Enrollment,Violent Crime,Murder and Nonnegligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-Theft,Motor Vehicle Theft,Arson
CA,college of sequoias,"15,695",0.0,0.0,0.0,0.0,0.0,27,5.0,20.0,2.0,0.0
CA,contra costa community college,"45,303",3.0,0.0,0.0,0.0,3.0,78,21.0,45.0,12.0,0.0
CA,cuesta college,"13,943",0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0
CA,el camino college,"28,431",6.0,1.0,0.0,0.0,5.0,31,6.0,23.0,2.0,0.0
CA,foothill de anza college,"49,973",1.0,0.0,0.0,1.0,0.0,18,1.0,17.0,0.0,1.0
CA,irvine valley college,"17,098",0.0,0.0,0.0,0.0,0.0,5,0.0,5.0,0.0,0.0
CA,los rios community college,"105,677",4.0,0.0,0.0,3.0,1.0,35,5.0,28.0,2.0,1.0
CA,marin community college,"6,770",0.0,0.0,0.0,0.0,0.0,8,3.0,4.0,1.0,0.0
CA,miracosta college,"16,847",1.0,0.0,1.0,0.0,0.0,10,1.0,9.0,0.0,0.0
CA,mt san jacinto college,"19,567",0.0,0.0,0.0,0.0,0.0,14,3.0,8.0,3.0,0.0
CA,pasadena community college,"31,175",2.0,0.0,0.0,0.0,2.0,54,3.0,42.0,9.0,0.0
CA,riverside community college,"53,049",2.0,0.0,0.0,2.0,0.0,31,4.0,23.0,4.0,0.0
CA,san bernardino community college,"22,939",3.0,0.0,0.0,1.0,2.0,47,11.0,35.0,1.0,0.0
CA,san diego community college,"72,038",11.0,0.0,2.0,0.0,9.0,34,1.0,32.0,1.0,1.0
CA,san diego state university,"39,053",26.0,0.0,9.0,3.0,14.0,300,19.0,266.0,15.0,2.0
CA,san francisco state university,"30,339",11.0,0.0,4.0,4.0,3.0,131,2.0,113.0,16.0,1.0
CA,san joaquin delta college,"23,945",4.0,0.0,0.0,1.0,3.0,35,4.0,29.0,2.0,13.0
